Category,Description,Data.Kilocalories,Data.Protein,Data.Fat.Total Lipid,Data.Carbohydrate,Data.Sugar Total,Data.Cholesterol,Data.Water,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin A - RAE,missing_count
BUTTER,"BUTTER,WITH SALT",717.0,0.85,81.11,0.06,0.059999999,215,15.87,24,0.02,0.0,684,0
BUTTER,"BUTTER,WHIPPED,WITH SALT",717.0,0.85,81.11,0.06,0.059999999,219,15.87,24,0.16,0.0,684,0
BUTTER OIL,"BUTTER OIL,ANHYDROUS",876.0,0.28,99.48,0.0,0.0,256,0.24,4,0.0,0.0,840,0
CHEESE,"CHEESE,BLUE",353.0,21.4,28.74,2.34,0.5,75,42.41,528,0.31,0.0,198,0
CHEESE,"CHEESE,BRICK",371.0,23.24,29.68,2.79,0.50999999,94,41.11,674,0.43,0.0,292,0
CHEESE,"CHEESE,BRIE",334.0,20.75,27.68,0.45,0.449999988,100,48.42,184,0.5,0.0,174,0
CHEESE,"CHEESE,CAMEMBERT",300.0,19.8,24.26,0.46,0.460000008,72,51.8,388,0.33,0.0,241,0
CHEESE,"CHEESE,CARAWAY",376.0,25.18,29.2,3.06,0.0,93,39.28,673,0.64,0.0,271,0
CHEESE,"CHEESE,CHEDDAR",403.0,24.9,33.14,1.28,0.519999981,105,36.75,721,0.68,0.0,265,0
CHEESE,"CHEESE,CHESHIRE",387.0,23.37,30.6,4.78,0.0,103,37.65,643,0.21,0.0,233,0
CHEESE,"CHEESE,COLBY",394.0,23.76,32.11,2.57,0.519999981,95,38.2,685,0.76,0.0,264,0
CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98.0,11.12,4.3,3.38,2.670000076,17,79.79,83,0.07,0.0,37,0
CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",97.0,10.69,3.85,4.61,2.380000114,13,79.64,53,0.16,1.4,38,0
CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72.0,10.34,0.29,6.66,1.850000024,7,81.01,86,0.15,0.0,2,0
CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86.0,11.83,2.45,3.66,3.670000076,10,80.69,91,0.15,0.0,20,0
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72.0,12.39,1.02,2.72,2.720000029,4,82.48,61,0.14,0.0,11,0
CHEESE,"CHEESE,CREAM",342.0,5.93,34.24,4.07,3.210000038,110,54.44,98,0.38,0.0,362,0
CHEESE,"CHEESE,EDAM",357.0,24.99,27.8,1.43,1.429999948,89,41.56,731,0.44,0.0,243,0
CHEESE,"CHEESE,FETA",264.0,14.21,21.28,4.09,4.090000153,89,55.22,493,0.65,0.0,125,0
CHEESE,"CHEESE,FONTINA",389.0,25.6,31.14,1.55,1.549999952,116,37.92,550,0.23,0.0,261,0
CHEESE,"CHEESE,GJETOST",466.0,9.65,29.51,42.65,0.0,94,13.44,400,0.52,0.0,334,0
CHEESE,"CHEESE,GOUDA",356.0,24.94,27.44,2.22,2.220000029,114,41.46,700,0.24,0.0,165,0
CHEESE,"CHEESE,GRUYERE",413.0,29.81,32.34,0.36,0.360000014,110,33.19,1011,0.17,0.0,271,0
CHEESE,"CHEESE,LIMBURGER",327.0,20.05,27.25,0.49,0.49000001,90,48.42,497,0.13,0.0,340,0
CHEESE,"CHEESE,MONTEREY",373.0,24.48,30.28,0.68,0.5,89,41.01,746,0.72,0.0,198,0
CHEESE,"CHEESE,MOZZARELLA,WHL MILK",300.0,22.17,22.35,2.19,1.029999971,79,50.01,505,0.44,0.0,179,0
CHEESE,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318.0,21.6,24.64,2.47,1.00999999,89,48.38,575,0.2,0.0,197,0
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK",254.0,24.26,15.92,2.77,1.129999995,64,53.78,782,0.22,0.0,127,0
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302.0,25.96,20.03,3.83,0.600000024,54,46.46,731,0.25,0.0,137,0
CHEESE,"CHEESE,MUENSTER",368.0,23.41,30.04,1.12,1.120000005,96,41.77,717,0.41,0.0,298,0
CHEESE,"CHEESE,NEUFCHATEL",253.0,9.15,22.78,3.59,3.190000057,74,63.11,117,0.13,0.0,241,0
CHEESE,"CHEESE,PARMESAN,GRATED",431.0,38.46,28.61,4.06,0.899999976,88,20.84,1109,0.9,0.0,120,0
CHEESE,"CHEESE,PARMESAN,HARD",392.0,35.75,25.83,3.22,0.800000012,68,29.16,1184,0.82,0.0,108,0
CHEESE,"CHEESE,PORT DE SALUT",352.0,23.78,28.2,0.57,0.569999993,123,45.45,650,0.43,0.0,315,0
CHEESE,"CHEESE,PROVOLONE",351.0,25.58,26.62,2.14,0.560000002,69,40.95,756,0.52,0.0,236,0
CHEESE,"CHEESE,RICOTTA,WHOLE MILK",174.0,11.26,12.98,3.04,0.270000011,51,71.7,207,0.38,0.0,120,0
CHEESE,"CHEESE,RICOTTA,PART SKIM MILK",138.0,11.39,7.91,5.14,0.310000002,31,74.41,272,0.44,0.0,107,0
CHEESE,"CHEESE,ROMANO",387.0,31.8,26.94,3.63,0.730000019,104,30.91,1064,0.77,0.0,96,0
CHEESE,"CHEESE,ROQUEFORT",369.0,21.54,30.64,2.0,0.0,90,39.38,662,0.56,0.0,294,0
CHEESE,"CHEESE,SWISS",380.0,26.93,27.8,5.38,1.320000052,92,37.12,791,0.2,0.0,220,0
CHEESE,"CHEESE,TILSIT",340.0,24.41,25.98,1.88,0.0,102,42.86,700,0.23,0.0,249,0
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",375.0,22.15,31.25,1.6,0.50999999,94,39.16,552,0.19,0.0,254,0
CHEESE,"CHEESE,PAST PROCESS,PIMENTO",375.0,22.13,31.2,1.73,0.629999995,94,39.08,614,0.42,2.3,248,0
CHEESE,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",334.0,24.73,25.01,2.1,1.230000019,85,42.31,772,0.61,0.0,198,0
CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",331.0,19.66,24.46,8.32,0.0,64,43.12,497,0.84,0.0,159,0
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",330.0,18.4,25.18,7.83,7.429999828,80,43.21,570,0.57,0.0,201,0
CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",323.0,21.92,24.14,4.5,0.0,82,43.67,723,0.6,0.0,237,0
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",290.0,16.41,21.23,8.73,7.320000172,55,47.65,562,0.33,0.0,173,0
CREAM,"CREAM,FLUID,HALF AND HALF",130.0,2.96,11.5,4.3,0.159999996,37,80.57,105,0.07,0.9,97,0
CREAM,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195.0,2.7,19.31,3.66,0.140000001,66,73.75,96,0.04,0.8,181,0
CREAM,"CREAM,FLUID,LT WHIPPING",292.0,2.17,30.91,2.96,0.109999999,111,63.5,69,0.03,0.6,279,0
CREAM,"CREAM,FLUID,HVY WHIPPING",345.0,2.05,37.0,2.79,0.109999999,137,57.71,65,0.03,0.6,411,0
CREAM,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257.0,3.2,22.22,12.49,8.0,76,61.33,101,0.05,0.0,188,0
CREAM,"CREAM,SOUR,RED FAT,CULTURED",135.0,2.94,12.0,4.26,0.159999996,39,80.14,104,0.07,0.9,102,0
CREAM,"CREAM,SOUR,CULTURED",193.0,2.07,19.73,2.88,3.5,52,74.46,110,0.17,0.9,162,0
No Category,EGGNOG,135.0,3.81,7.48,13.54,8.409999847,59,74.37,130,0.2,1.5,46,0
SOUR DRSNG,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",178.0,3.25,16.57,4.68,4.679999828,5,74.79,113,0.03,0.9,3,0
MILK,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",63.0,3.33,3.46,4.74,0.0,2,87.67,128,0.05,0.9,2,0
MILK,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",63.0,3.33,3.4,4.74,4.739999771,2,87.73,128,0.05,0.9,2,0
CREAM SUB,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136.0,1.0,9.97,11.38,11.38000011,0,77.27,9,0.03,0.0,1,0
CREAM SUB,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136.0,1.0,9.97,11.38,0.0,0,77.27,9,0.03,0.0,4,0
CREAM SUBSTITUTE,"CREAM SUBSTITUTE,POWDERED",545.0,4.79,35.48,54.88,54.88000107,0,2.21,22,1.15,0.0,2,0
DESSERT TOPPING,"DESSERT TOPPING,POWDERED",577.0,4.9,39.92,52.54,52.54000092,0,1.47,17,0.03,0.0,9,0
DESSERT TOPPING,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",188.0,3.6,12.41,16.53,16.53000069,10,66.65,90,0.04,0.7,23,0
DESSERT TOPPING,"DESSERT TOPPING,PRESSURIZED",264.0,0.98,22.3,16.07,16.06999969,0,60.37,5,0.02,0.0,4,0
DESSERT TOPPING,"DESSERT TOPPING,SEMI SOLID,FRZ",318.0,1.25,25.31,23.05,23.04999924,0,50.21,6,0.12,0.0,7,0
SOUR CRM,"SOUR CRM,IMITN,CULTURED",208.0,2.4,19.52,6.63,6.630000114,0,71.15,3,0.39,0.0,0,0
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",61.0,1.75,3.41,6.16,6.159999847,0,88.18,33,0.39,0.0,0,0
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61.0,1.75,3.41,6.16,0.0,0,88.18,33,0.39,0.0,0,0
MILK,"MILK,WHL,3.25% MILKFAT",60.0,3.22,3.25,4.52,5.260000229,10,88.32,113,0.03,0.0,28,0
